,REG1V.HE,NESTE.HE,ORNBV.HE,KNEBV.HE,OLVAS.HE,HUH1V.HE,DETEC.HE,ORNAV.HE,CGCBV.HE,VAIAS.HE,ALBBV.HE,VALMT.HE,EQV1V.HE,PON1V.HE
2023-03-10 08:00:00,40.31999969482422,45.869998931884766,43.36000061035156,47.68000030517578,29.0,34.27000045776367,16.899999618530273,41.900001525878906,44.81999969482422,40.25,39.20000076293945,29.100000381469727,21.549999237060547,27.0
2023-03-10 09:00:00,40.439998626708984,45.5,43.209999084472656,47.68000030517578,29.0,34.150001525878906,16.549999237060547,41.70000076293945,44.86000061035156,40.400001525878906,39.20000076293945,29.110000610351562,21.149999618530273,27.0
2023-03-10 10:00:00,40.34000015258789,45.540000915527344,42.97999954223633,47.7400016784668,28.950000762939453,34.220001220703125,16.399999618530273,41.599998474121094,44.939998626708984,40.099998474121094,38.900001525878906,29.0,21.149999618530273,26.899999618530273
2023-03-10 12:00:00,40.099998474121094,45.849998474121094,42.95000076293945,47.91999816894531,28.950000762939453,34.22999954223633,16.549999237060547,41.349998474121094,45.08000183105469,40.0,39.0,28.8799991607666,21.149999618530273,26.799999237060547
2023-03-10 13:00:00,40.400001525878906,45.900001525878906,43.150001525878906,47.880001068115234,29.049999237060547,34.119998931884766,18.0,41.5,45.2400016784668,40.20000076293945,38.79999923706055,28.190000534057617,21.149999618530273,26.950000762939453
2023-03-10 14:00:00,40.400001525878906,45.7599983215332,43.04999923706055,48.029998779296875,29.049999237060547,33.83000183105469,17.75,41.400001525878906,45.29999923706055,39.20000076293945,38.599998474121094,28.06999969482422,21.0,26.850000381469727
2023-03-10 15:00:00,40.41999816894531,45.709999084472656,43.029998779296875,47.970001220703125,29.0,33.880001068115234,18.0,41.54999923706055,45.29999923706055,39.400001525878906,38.599998474121094,28.149999618530273,21.100000381469727,26.950000762939453
2023-03-10 16:00:00,40.34000015258789,45.9900016784668,43.25,48.150001525878906,29.299999237060547,33.900001525878906,16.75,41.400001525878906,45.65999984741211,38.099998474121094,38.5,28.43000030517578,21.600000381469727,26.850000381469727
2023-03-13 08:00:00,40.599998474121094,45.72999954223633,43.04999923706055,48.25,29.100000381469727,33.75,17.75,42.79999923706055,45.560001373291016,38.599998474121094,38.900001525878906,28.290000915527344,21.600000381469727,26.899999618530273
2023-03-13 09:00:00,40.939998626708984,45.720001220703125,43.18000030517578,48.45000076293945,29.200000762939453,33.86000061035156,16.600000381469727,42.70000076293945,45.58000183105469,38.25,38.5,28.389999389648438,21.600000381469727,26.850000381469727
2023-03-13 10:00:00,40.86000061035156,45.689998626708984,43.04999923706055,48.5099983215332,29.200000762939453,33.880001068115234,16.799999237060547,42.900001525878906,45.540000915527344,38.70000076293945,38.70000076293945,28.459999084472656,21.399999618530273,26.5
2023-03-13 11:00:00,40.779998779296875,45.70000076293945,43.20000076293945,48.400001525878906,29.100000381469727,33.849998474121094,16.799999237060547,42.900001525878906,45.34000015258789,38.599998474121094,38.5,28.31999969482422,21.75,27.100000381469727
2023-03-13 12:00:00,40.5,45.68000030517578,43.22999954223633,48.560001373291016,29.25,33.88999938964844,16.799999237060547,42.70000076293945,45.439998626708984,38.400001525878906,38.79999923706055,28.280000686645508,21.5,26.5
2023-03-13 13:00:00,40.7599983215332,45.529998779296875,43.130001068115234,48.279998779296875,29.25,33.65999984741211,17.0,42.75,45.18000030517578,38.54999923706055,38.5,28.110000610351562,21.450000762939453,26.799999237060547
2023-03-13 14:00:00,40.880001068115234,45.40999984741211,43.209999084472656,48.09000015258789,29.149999618530273,33.61000061035156,17.0,42.75,45.220001220703125,38.25,38.5,28.1299991607666,21.600000381469727,26.799999237060547
2023-03-13 16:00:00,41.08000183105469,45.529998779296875,43.22999954223633,48.13999938964844,29.149999618530273,33.58000183105469,17.100000381469727,42.79999923706055,45.34000015258789,38.650001525878906,38.79999923706055,28.190000534057617,21.600000381469727,26.700000762939453
2023-03-14 08:00:00,41.31999969482422,45.849998474121094,43.709999084472656,48.56999969482422,29.149999618530273,33.91999816894531,17.100000381469727,42.75,45.81999969482422,38.70000076293945,38.29999923706055,28.739999771118164,22.149999618530273,26.649999618530273
2023-03-14 09:00:00,41.040000915527344,45.83000183105469,43.869998931884766,48.470001220703125,29.0,33.70000076293945,17.100000381469727,42.650001525878906,45.81999969482422,38.400001525878906,38.20000076293945,28.760000228881836,21.899999618530273,26.700000762939453
2023-03-14 11:00:00,40.52000045776367,45.939998626708984,43.97999954223633,48.4900016784668,28.899999618530273,33.709999084472656,16.950000762939453,42.70000076293945,45.97999954223633,38.95000076293945,38.400001525878906,28.799999237060547,21.899999618530273,27.049999237060547
2023-03-14 12:00:00,40.619998931884766,45.86000061035156,43.959999084472656,48.599998474121094,28.850000381469727,33.84000015258789,17.950000762939453,42.54999923706055,45.65999984741211,38.29999923706055,38.099998474121094,28.790000915527344,21.75,27.100000381469727
2023-03-14 13:00:00,40.58000183105469,45.810001373291016,44.0,48.630001068115234,29.049999237060547,34.029998779296875,18.0,42.25,45.900001525878906,38.54999923706055,38.70000076293945,28.8799991607666,21.75,27.0
2023-03-14 14:00:00,40.560001373291016,45.77000045776367,43.91999816894531,48.66999816894531,29.049999237060547,34.029998779296875,17.75,42.650001525878906,45.779998779296875,38.54999923706055,38.5,28.760000228881836,21.649999618530273,27.049999237060547
2023-03-14 15:00:00,40.540000915527344,45.70000076293945,44.02000045776367,49.09000015258789,29.0,34.02000045776367,17.75,42.75,45.959999084472656,38.5,38.599998474121094,28.889999389648438,21.5,27.5
2023-03-14 16:00:00,40.540000915527344,45.599998474121094,44.04999923706055,49.20000076293945,29.100000381469727,34.02000045776367,17.899999618530273,42.599998474121094,45.939998626708984,38.5,38.20000076293945,28.889999389648438,21.799999237060547,27.049999237060547
2023-03-15 08:00:00,40.20000076293945,45.56999969482422,44.150001525878906,49.27000045776367,29.149999618530273,34.029998779296875,17.149999618530273,42.5,46.0,38.70000076293945,38.29999923706055,28.8700008392334,21.700000762939453,27.100000381469727
2023-03-15 09:00:00,40.13999938964844,45.650001525878906,44.5,49.75,29.299999237060547,34.2599983215332,17.899999618530273,42.29999923706055,46.599998474121094,38.599998474121094,38.29999923706055,29.280000686645508,21.549999237060547,27.0
2023-03-15 11:00:00,40.5,45.20000076293945,44.5099983215332,49.56999969482422,29.25,34.04999923706055,17.950000762939453,42.70000076293945,46.13999938964844,38.849998474121094,38.599998474121094,28.889999389648438,21.899999618530273,27.049999237060547
2023-03-15 12:00:00,40.380001068115234,45.29999923706055,44.5099983215332,49.529998779296875,29.350000381469727,33.95000076293945,18.200000762939453,43.0,46.20000076293945,38.75,38.5,28.860000610351562,21.149999618530273,27.0
2023-03-15 14:00:00,40.31999969482422,45.34000015258789,44.70000076293945,49.66999816894531,29.299999237060547,34.09000015258789,18.399999618530273,43.25,46.220001220703125,38.650001525878906,38.5,28.8799991607666,21.399999618530273,26.0
2023-03-15 15:00:00,40.41999816894531,45.130001068115234,44.65999984741211,49.72999954223633,29.350000381469727,34.0099983215332,18.200000762939453,43.29999923706055,46.15999984741211,38.900001525878906,38.099998474121094,28.850000381469727,21.049999237060547,26.25
2023-03-16 08:00:00,40.540000915527344,44.83000183105469,44.900001525878906,49.529998779296875,29.399999618530273,34.02000045776367,18.200000762939453,43.25,46.20000076293945,39.150001525878906,38.099998474121094,28.780000686645508,21.0,26.899999618530273
2023-03-16 09:00:00,40.459999084472656,44.959999084472656,45.02000045776367,49.720001220703125,29.450000762939453,34.06999969482422,19.0,43.29999923706055,46.2400016784668,40.25,38.0,28.8700008392334,21.100000381469727,26.549999237060547
2023-03-16 10:00:00,40.2400016784668,44.81999969482422,44.9900016784668,49.689998626708984,29.450000762939453,34.029998779296875,19.0,43.29999923706055,46.63999938964844,39.650001525878906,38.099998474121094,28.8700008392334,21.0,26.549999237060547
2023-03-16 11:00:00,40.380001068115234,44.880001068115234,45.20000076293945,49.75,29.600000381469727,34.0,18.350000381469727,43.25,46.52000045776367,39.599998474121094,38.099998474121094,28.829999923706055,21.0,26.299999237060547
2023-03-16 14:00:00,40.400001525878906,44.540000915527344,46.11000061035156,49.5099983215332,29.649999618530273,34.060001373291016,18.200000762939453,43.20000076293945,46.7599983215332,39.20000076293945,38.099998474121094,28.850000381469727,21.0,26.549999237060547
2023-03-16 15:00:00,39.7599983215332,44.279998779296875,46.11000061035156,49.5,29.549999237060547,34.02000045776367,18.850000381469727,43.0,46.79999923706055,39.400001525878906,38.20000076293945,28.8700008392334,21.049999237060547,26.350000381469727
2023-03-16 16:00:00,39.65999984741211,44.0099983215332,46.060001373291016,49.59000015258789,29.600000381469727,34.08000183105469,18.200000762939453,42.95000076293945,46.900001525878906,39.79999923706055,38.0,28.989999771118164,21.200000762939453,26.600000381469727
