date,Time Delta,REG1V.HE,NESTE.HE,ORNBV.HE,KNEBV.HE,OLVAS.HE,HUH1V.HE,DETEC.HE,ORNAV.HE,CGCBV.HE,VAIAS.HE,ALBBV.HE,VALMT.HE,EQV1V.HE,PON1V.HE
2021-11-25 09:00:00,1,49.84000015258789,42.95000076293945,35.869998931884766,59.47999954223633,50.5,35.90999984741211,25.899999618530277,36.09999847412109,44.540000915527344,52.70000076293945,28.399999618530277,34.27000045776367,26.950000762939453,43.75
2021-11-25 10:00:00,1,50.20000076293945,42.5,35.619998931884766,59.36000061035156,50.5,35.689998626708984,26.0,36.04999923706055,44.900001525878906,53.29999923706055,28.799999237060547,34.060001373291016,27.049999237060547,44.20000076293945
2021-11-25 11:00:00,1,50.150001525878906,41.93999862670898,35.459999084472656,59.31999969482422,50.29999923706055,35.47999954223633,26.0,36.150001525878906,44.52000045776367,52.900001525878906,28.799999237060547,34.0,27.049999237060547,44.45000076293945
2021-11-25 12:00:00,1,49.900001525878906,42.02000045776367,35.45000076293945,59.2400016784668,50.400001525878906,35.560001373291016,26.0,36.25,44.619998931884766,53.09999847412109,28.799999237060547,33.709999084472656,27.049999237060547,43.900001525878906
2021-11-25 13:00:00,1,48.77999877929688,41.83000183105469,35.349998474121094,59.040000915527344,50.59999847412109,35.4900016784668,26.0,36.25,44.540000915527344,53.09999847412109,28.799999237060547,33.599998474121094,27.049999237060547,43.900001525878906
2021-11-25 14:00:00,1,48.220001220703125,41.91999816894531,35.45000076293945,58.86000061035156,50.400001525878906,35.58000183105469,26.0,36.09999847412109,44.09999847412109,53.70000076293945,28.799999237060547,33.88999938964844,26.75,43.95000076293945
2021-11-25 15:00:00,1,48.43999862670898,42.02000045776367,35.310001373291016,59.0,50.29999923706055,35.65999984741211,25.600000381469727,36.09999847412109,44.13999938964844,53.70000076293945,28.600000381469727,33.91999816894531,26.700000762939453,44.04999923706055
2021-11-25 16:00:00,16,47.7599983215332,40.97999954223633,34.810001373291016,57.13999938964844,50.29999923706055,34.880001068115234,26.0,36.09999847412109,44.220001220703125,53.59999847412109,29.5,33.040000915527344,26.950000762939453,44.09999847412109
2021-11-26 08:00:00,1,47.20000076293945,40.720001220703125,34.869998931884766,56.93999862670898,50.400001525878906,34.709999084472656,26.100000381469727,36.09999847412109,43.27999877929688,53.59999847412109,29.600000381469727,32.84000015258789,26.850000381469727,43.59999847412109
2021-11-26 09:00:00,1,46.900001525878906,40.220001220703125,34.56999969482422,56.81999969482422,50.400001525878906,34.25,26.100000381469727,36.29999923706055,43.400001525878906,54.400001525878906,29.399999618530277,32.34000015258789,26.75,43.70000076293945
2021-11-26 10:00:00,1,46.540000915527344,39.93000030517578,34.56999969482422,56.70000076293945,50.400001525878906,34.20000076293945,26.100000381469727,36.34999847412109,42.2400016784668,55.20000076293945,29.0,32.599998474121094,26.799999237060547,43.5
2021-11-26 11:00:00,1,46.560001373291016,39.970001220703125,34.61000061035156,56.79999923706055,50.20000076293945,34.18000030517578,26.100000381469727,36.09999847412109,42.27999877929688,55.09999847412109,28.899999618530277,32.560001373291016,26.799999237060547,43.54999923706055
2021-11-26 12:00:00,1,46.86000061035156,39.709999084472656,34.5099983215332,56.70000076293945,50.29999923706055,34.09000015258789,26.0,35.849998474121094,42.59999847412109,55.29999923706055,29.0,32.650001525878906,26.799999237060547,43.29999923706055
2021-11-26 13:00:00,1,44.70000076293945,39.52999877929688,34.27000045776367,56.27999877929688,50.09999847412109,33.93000030517578,26.100000381469727,35.70000076293945,42.41999816894531,55.59999847412109,29.200000762939453,32.5,26.950000762939453,43.25
2021-11-26 14:00:00,1,44.060001373291016,39.2400016784668,34.25,56.2400016784668,50.09999847412109,34.22999954223633,26.0,35.79999923706055,42.119998931884766,55.29999923706055,29.0,32.599998474121094,26.75,43.04999923706055
2021-11-26 15:00:00,1,43.720001220703125,39.27000045776367,34.150001525878906,56.09999847412109,50.0,34.2599983215332,26.100000381469727,35.599998474121094,42.540000915527344,54.29999923706055,29.100000381469727,32.790000915527344,26.700000762939453,42.95000076293945
2021-11-26 16:00:00,64,43.58000183105469,39.25,34.40999984741211,56.2400016784668,50.20000076293945,34.400001525878906,27.0,35.70000076293945,42.060001373291016,54.29999923706055,29.299999237060547,33.15999984741211,26.700000762939453,43.09999847412109
2021-11-29 08:00:00,1,43.400001525878906,39.470001220703125,34.439998626708984,56.5,50.0,34.66999816894531,26.399999618530277,35.79999923706055,42.84000015258789,54.59999847412109,29.299999237060547,33.189998626708984,26.850000381469727,43.59999847412109
2021-11-29 09:00:00,1,43.08000183105469,39.36000061035156,34.4900016784668,56.08000183105469,49.84999847412109,34.59000015258789,26.399999618530277,35.599998474121094,43.119998931884766,54.5,29.100000381469727,33.02000045776367,26.649999618530277,43.95000076293945
2021-11-29 10:00:00,1,42.65999984741211,39.31999969482422,34.619998931884766,56.040000915527344,50.0,34.41999816894531,26.899999618530277,35.599998474121094,43.0,54.59999847412109,29.299999237060547,32.880001068115234,26.75,43.59999847412109
2021-11-29 11:00:00,1,42.58000183105469,39.22999954223633,34.619998931884766,56.13999938964844,49.79999923706055,34.33000183105469,26.450000762939453,35.650001525878906,43.09999847412109,53.400001525878906,29.100000381469727,32.959999084472656,26.75,43.5
2021-11-29 12:00:00,1,42.400001525878906,38.4900016784668,34.72999954223633,56.27999877929688,49.84999847412109,34.25,26.899999618530277,35.75,42.97999954223633,52.59999847412109,28.899999618530277,32.91999816894531,26.649999618530277,43.34999847412109
2021-11-29 13:00:00,1,43.400001525878906,38.41999816894531,34.959999084472656,56.18000030517578,50.0,34.060001373291016,26.200000762939453,35.75,42.7400016784668,52.900001525878906,29.299999237060547,33.0099983215332,26.5,43.20000076293945
2021-11-29 14:00:00,1,44.31999969482422,38.310001373291016,34.88999938964844,56.47999954223633,49.400001525878906,34.099998474121094,26.200000762939453,35.95000076293945,42.65999984741211,52.20000076293945,29.399999618530277,32.90999984741211,26.75,43.150001525878906
2021-11-29 15:00:00,1,44.09999847412109,38.220001220703125,34.86000061035156,56.31999969482422,49.75,34.04999923706055,26.0,35.849998474121094,42.41999816894531,52.400001525878906,29.600000381469727,32.79999923706055,26.850000381469727,43.0
2021-11-29 16:00:00,16,43.79999923706055,38.7400016784668,34.91999816894531,56.720001220703125,49.650001525878906,34.290000915527344,25.799999237060547,35.900001525878906,42.540000915527344,53.29999923706055,29.399999618530277,33.279998779296875,26.950000762939453,42.95000076293945
2021-11-30 08:00:00,1,44.040000915527344,39.18000030517578,35.15999984741211,56.84000015258789,50.59999847412109,34.7599983215332,25.899999618530277,35.79999923706055,43.5,52.70000076293945,29.399999618530277,33.56999969482422,26.700000762939453,41.79999923706055
2021-11-30 09:00:00,1,43.63999938964844,39.59999847412109,35.41999816894531,56.7599983215332,50.29999923706055,34.7400016784668,25.799999237060547,35.95000076293945,43.36000061035156,52.400001525878906,29.399999618530277,33.689998626708984,26.649999618530277,41.34999847412109
2021-11-30 10:00:00,1,43.7400016784668,39.34999847412109,35.630001068115234,56.79999923706055,50.59999847412109,34.959999084472656,25.799999237060547,35.95000076293945,43.79999923706055,51.79999923706055,29.399999618530277,33.869998931884766,26.850000381469727,41.79999923706055
2021-11-30 11:00:00,1,44.0,39.02999877929688,35.470001220703125,56.77999877929688,50.79999923706055,34.91999816894531,25.799999237060547,36.0,44.02000045776367,50.900001525878906,29.5,33.68000030517578,26.950000762939453,41.45000076293945
2021-11-30 12:00:00,1,44.02000045776367,39.04999923706055,35.47999954223633,56.63999938964844,50.70000076293945,34.95000076293945,25.799999237060547,35.900001525878906,43.77999877929688,51.400001525878906,29.399999618530277,33.72999954223633,26.850000381469727,41.59999847412109
2021-11-30 13:00:00,1,44.52000045776367,38.83000183105469,35.56999969482422,56.81999969482422,50.70000076293945,34.83000183105469,27.100000381469727,35.79999923706055,43.91999816894531,51.20000076293945,29.600000381469727,33.77000045776367,26.700000762939453,42.20000076293945
2021-11-30 14:00:00,1,45.31999969482422,38.68999862670898,35.33000183105469,56.5,50.20000076293945,34.400001525878906,25.5,35.900001525878906,43.81999969482422,51.400001525878906,29.700000762939453,33.54999923706055,26.950000762939453,42.09999847412109
2021-11-30 15:00:00,1,45.27999877929688,38.41999816894531,35.33000183105469,56.47999954223633,50.0,34.380001068115234,26.200000762939453,35.25,43.5,51.29999923706055,29.700000762939453,33.630001068115234,26.75,41.900001525878906
2021-11-30 16:00:00,16,45.36000061035156,37.90999984741211,35.27000045776367,55.5,51.0,34.290000915527344,26.0,35.45000076293945,43.47999954223633,51.79999923706055,29.700000762939453,33.18000030517578,26.850000381469727,42.20000076293945
2021-12-01 08:00:00,1,45.18000030517578,37.4900016784668,35.15999984741211,55.59999847412109,51.09999847412109,34.5099983215332,25.299999237060547,35.54999923706055,44.400001525878906,51.79999923706055,29.200000762939453,33.41999816894531,26.5,42.25
2021-12-01 09:00:00,1,44.7599983215332,37.130001068115234,35.279998779296875,55.619998931884766,51.20000076293945,34.33000183105469,25.399999618530277,35.54999923706055,44.68000030517578,51.70000076293945,29.5,33.400001525878906,26.899999618530277,42.150001525878906
2021-12-01 10:00:00,1,44.63999938964844,37.0099983215332,35.40999984741211,55.560001373291016,51.0,34.38999938964844,25.799999237060547,35.54999923706055,44.400001525878906,52.20000076293945,29.0,33.40999984741211,26.5,41.79999923706055
2021-12-01 11:00:00,1,44.68000030517578,36.90999984741211,35.41999816894531,55.7599983215332,51.20000076293945,34.540000915527344,25.0,35.54999923706055,44.15999984741211,52.0,29.299999237060547,33.5,26.649999618530277,41.59999847412109
2021-12-01 12:00:00,2,44.70000076293945,36.970001220703125,35.63999938964844,56.29999923706055,51.0,34.36000061035156,25.0,35.5,44.36000061035156,52.0,29.600000381469727,33.720001220703125,27.350000381469727,41.79999923706055
